feature,importance
"cat__Condition_Endarterectomy, carotid",2.97186802982934e-05
"cat__Condition_Hematoma subdural, surgery for",2.9485023887525587e-05
"cat__Condition_Biopsy, open lung",2.9074499264834875e-05
cat__care_plan_following_discharge_Follow-up Cardiology; Medication Management; Cardiac Rehab,2.8949622860081722e-05
cat__uniquepid_002-15703,2.887288686407404e-05
"cat__Condition_Angina, unstable (angina interferes w/quality of life or meds are tolerated poorly)",2.8744399046850588e-05
cat__Condition_Aortic and Mitral valve replacement,2.8732633286378902e-05
"cat__Condition_Aneurysm, thoracic aortic",2.8716760144069662e-05
cat__Condition_Rhythm disturbance (ventricular),2.827594632468088e-05
"cat__Condition_Abscess, neurologic",2.8234830277181057e-05
cat__uniquepid_007-11836,2.8018526400803997e-05
"cat__Condition_Angina, stable (asymp or stable pattern of symptoms w/meds)",2.737816135610112e-05
"cat__Condition_Cardiovascular surgery, other",2.7340488786339588e-05
"cat__Condition_Restrictive lung disease (i.e., Sarcoidosis, pulmonary fibrosis)",2.7020780890512384e-05
cat__care_plan_following_discharge_Medication Management; Home Health; Follow-up Cardiology,2.671631956289297e-05
cat__Condition_Head/chest trauma,2.6440836268959034e-05
cat__uniquepid_002-3609,2.5610078073437056e-05
"cat__Condition_Hematoma, subdural",2.5471675706091907e-05
cat__uniquepid_002-8801,2.51335608366625e-05
cat__care_plan_following_discharge_Nutrition Counseling; Endocrinology Follow-up; Diabetes Education,2.5029508011741195e-05
"cat__Condition_Hip replacement, total (non-traumatic)",2.485650369999151e-05
cat__uniquepid_002-10287,2.4498374769642818e-05
"cat__Condition_Aneurysm/pseudoaneurysm, other",2.4236667693831776e-05
cat__uniquepid_003-17649,2.412912579092316e-05
cat__uniquepid_007-10076,2.4016816724774472e-05
cat__Condition_Thoracotomy for lung reduction,2.4007825602513345e-05
cat__uniquepid_007-11803,2.3962681222546314e-05
cat__Condition_Aortic valve replacement (isolated),2.3737311908239064e-05
cat__care_plan_following_discharge_Follow-up Cardiology; Home Health; Cardiac Rehab,2.369507510707995e-05
"cat__Condition_Sepsis, renal/UTI (including bladder)",2.2917131406995468e-05
cat__Condition_Inflammatory bowel disease,2.280909576665706e-05
cat__uniquepid_002-4484,2.2701525208524862e-05
cat__uniquepid_002-19769,2.2655228624962074e-05
"cat__Condition_Pneumonia, other",2.2144700814171665e-05
cat__care_plan_following_discharge_Wound Care; Follow-up Infectious Disease,2.190208604571461e-05
"cat__Condition_Genitourinary surgery, other",2.1617243290250203e-05
cat__uniquepid_002-10586,2.1554100302240655e-05
"cat__Condition_Sepsis, unknown",2.1455303286448243e-05
cat__care_plan_following_discharge_Occupational Therapy; Follow-up Neurology; Physical Therapy,2.1450890608380938e-05
cat__Condition_MI admitted > 24 hrs after onset of ischemia,2.1426152299446805e-05
cat__uniquepid_002-13276,2.0972020673471254e-05
cat__uniquepid_002-1043,2.0901137471757904e-05
cat__uniquepid_009-10467,2.0620858436649028e-05
cat__uniquepid_003-15821,1.9956163052425874e-05
cat__uniquepid_002-12755,1.978175635391231e-05
"cat__Condition_Pneumonia, viral",1.9418006863692963e-05
cat__care_plan_following_discharge_Wound Care; Home Health; Follow-up Infectious Disease,1.9255743010474352e-05
cat__uniquepid_003-43270,1.9143050136513237e-05
cat__uniquepid_007-10693,1.8620002454924344e-05
"cat__Condition_Cardiovascular medical, other",1.8418334448772454e-05
cat__care_plan_following_discharge_Follow-up Infectious Disease; Wound Care; Home Health,1.800412868052047e-05
cat__Condition_Heat exhaustion/stroke,1.7844764081691802e-05
cat__uniquepid_007-1250,1.7836407634092795e-05
cat__uniquepid_003-10838,1.7673332168243196e-05
cat__care_plan_following_discharge_Dietary Restriction; Fluid Management; Dialysis Schedule,1.7175949537667746e-05
"cat__Condition_Hepatic failure, acute",1.7071305120570984e-05
cat__uniquepid_004-11064,1.695208816945221e-05
cat__Condition_Hematomas,1.6829800987258655e-05
cat__uniquepid_009-10244,1.6822116407812913e-05
cat__Condition_Extremity only trauma,1.641568666166629e-05
"cat__Condition_GI perforation/rupture, surgery for",1.6302731755078566e-05
cat__uniquepid_007-10380,1.5949812167946546e-05
"cat__Condition_Infarction, acute myocardial (MI)",1.5866020916109187e-05
cat__care_plan_following_discharge_Pulmonary Rehab; Home O2 Therapy; Smoking Cessation,1.5864656692279442e-05
cat__care_plan_following_discharge_Smoking Cessation; Follow-up Pulmonology,1.5862322937151628e-05
cat__uniquepid_002-10964,1.5824768951487804e-05
"cat__Condition_Hemorrhage/hematoma, intracranial",1.578857573434268e-05
cat__care_plan_following_discharge_Follow-up Neurology; Speech Therapy; Physical Therapy,1.5712117619971432e-05
"cat__Condition_Defibrillator, automatic implantable cardiac; insertion of",1.5696592372380078e-05
cat__Condition_Chest thorax only trauma,1.5663782285735297e-05
